Username,Review
k*****9,"Baru pertama kali beli barang super mahal di online. Ada lecet sedikit, tapi overall berfungsi dengan baik. Pengiriman cepat tapi sayangnya packagingnya gak aman banget, bubble wrap tipis, gak ada box kayu. Fitur chat gak ada response sama sekali kalau ditanya adminnya."
zidan420777,Bagus banget maantap lah
d*****o,"Pertama kali beli via online dan barangnya di packing dg aman dan Hpnya bagus, menyakinkan utk belanja lg di ibox.. 
"
,
girlystuff.pontianak,Mantapppp
s*****b,
erna_dina,Produk ori... tapi aku nggak dapat tas dan kartu ucapan... padahal ngarep banget... 😗
m*****n,"Mantaffffffff luar biasaaaaaaa, kereeeeen"
rackaraditya,"Produk original, tersegel / green peel, bergaransi resmi, dapat diskon, packing rapi, pengiriman cepat... Thanks Shopee dan Ibox..."
zan_h,"Barang diterima dalam keadaan baik, belum dites, terima kasih."
zakidjafri,"Makasih.. barang sdh kami terima dalam kondisi baik dan sempurna.. 
Smoga smakin maju dan sukses"
bandar_grosir_lsm,Produk mahal'tp ekspedisi yg yg d kirim sagat jlk'msekelas jne
lusiseptiza,"Iphonenya sampai dgn cepat, tapi gk ada tas ibox dan kartu terima kasih nya"
awanbaday,
suriyantochua,"Nga ad kartu ucapan makasih,dan bag ibox 😑"
colchique.eight,Pelayanan Ibox sangat amat mengecewakan. 
teguh.hadisaputra,pengiriman tidak sesuai untuk pre order.
a*****2,Semoga barangnya awwettt aminnn dan bermanfaatttttttttt
vera_vie6,"Iphone original asli, top 👍 semoga sukses 👍"
m*****a,Mantulllllllllllllll
rezha87,😍😍😍😍😍😍😍
a*****i,
easd87,Makasih gan barangnya udah sampai
yogii_ferdiansayah12,Mntapsss pengiriman cepat…👌👍
estuniceid,"
Terimakasih Shopee & Ibox 😍"
kawas62,
safiraaziza48,Ngga dapet tas
aliimran81,Mantappp
hengky2888,Barang asli dan original trimakasih ibox
ordinateofficial,Mantap
fatinfr,No komen wes timbang ruwet @fafira.tif
pm8tyuam1o,Alhamdulillah brg sdh datang..bagus..
